timestamp,open,high,low,close,volume
2026-07-17,215.6200,217.1699,210.2200,212.6700,13150177
2026-07-16,208.8200,219.9500,204.4400,219.0500,22533271
2026-07-15,220.9650,223.8130,211.0300,211.2000,29590356
2026-07-14,226.3650,229.9200,213.2200,217.0700,67440873
2026-07-13,290.5000,297.5000,289.1000,290.2300,5024243
2026-07-10,297.2600,298.7700,287.5000,287.5600,3640089
2026-07-09,285.8350,297.2838,284.4381,295.3000,10841979
2026-07-08,300.7700,303.8200,295.5900,302.0500,7416749
2026-07-07,305.6600,311.8000,300.4901,306.1300,8618569
2026-07-06,288.3450,300.8199,287.6500,299.5200,7181525
2026-07-02,283.1400,290.9300,282.2800,289.5200,5950158
2026-07-01,279.6600,294.4900,278.9600,286.2500,6905811
2026-06-30,273.2100,282.5694,271.1200,281.2100,7458360
2026-06-29,274.3000,278.1500,269.0600,278.0000,6464204
2026-06-26,258.9400,273.1350,258.2800,271.6300,9719927
2026-06-25,267.6700,268.7559,256.0000,258.2700,8539694
2026-06-24,261.8430,265.0700,256.1836,262.9600,8149935
2026-06-23,261.5800,267.5300,255.2600,264.9400,15686117
2026-06-22,248.4300,253.3100,243.8100,252.2200,9615393
